Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,68.669998,68.959999,67.779999,68.139999,68.139999,5090300
2018-09-25,71.739998,71.910004,69.660004,69.790001,69.790001,3130500
2018-09-26,69.769997,70.089996,68.730003,69.070000,69.070000,3057600
2018-09-27,68.739998,70.639999,68.559998,70.500000,70.500000,1292200
2018-09-28,70.980003,71.650002,70.059998,70.550003,70.550003,794500
2018-10-01,70.559998,70.989998,70.239998,70.279999,70.279999,521600
2018-10-02,70.190002,72.739998,70.120003,72.510002,72.510002,1587800
2018-10-03,72.849998,73.269997,72.089996,72.360001,72.360001,894600
2018-10-04,71.949997,72.510002,71.139999,72.070000,72.070000,933900
2018-10-05,71.169998,71.800003,70.620003,71.220001,71.220001,1088500
2018-10-08,69.620003,71.230003,69.089996,71.160004,71.160004,657500
2018-10-09,69.540001,70.930000,69.050003,70.459999,70.459999,883400
2018-10-10,69.720001,72.220001,69.139999,71.339996,71.339996,1324500
2018-10-11,73.820000,78.959999,73.050003,78.160004,78.160004,2512700
2018-10-12,77.889999,78.110001,75.480003,77.330002,77.330002,1534400
2018-10-15,78.360001,80.320000,78.269997,78.889999,78.889999,1684600
2018-10-16,78.489998,80.029999,77.870003,79.000000,79.000000,1361300
2018-10-17,79.220001,80.459999,78.339996,79.000000,79.000000,1029200
2018-10-18,79.309998,82.669998,79.000000,81.629997,81.629997,1258000
2018-10-19,81.940002,82.989998,81.500000,81.930000,81.930000,763900
2018-10-22,82.070000,82.349998,81.040001,81.779999,81.779999,1335200
2018-10-23,85.070000,85.760002,82.330002,83.169998,83.169998,1391700
2018-10-24,82.919998,83.650002,81.690002,81.809998,81.809998,606200
2018-10-25,80.769997,82.050003,78.260002,78.459999,78.459999,1346200
2018-10-26,79.309998,82.699997,79.309998,80.089996,80.089996,1033400
2018-10-29,80.080002,80.849998,78.849998,79.129997,79.129997,508600
2018-10-30,78.660004,79.610001,77.540001,79.080002,79.080002,628800
2018-10-31,78.930000,79.050003,77.250000,78.540001,78.540001,961100
2018-11-01,80.660004,83.989998,80.120003,83.330002,83.330002,1073800
2018-11-02,82.830002,83.309998,81.400002,82.320000,82.320000,700200
2018-11-05,82.300003,84.029999,81.970001,82.599998,82.599998,453600
2018-11-06,82.379997,82.809998,81.419998,82.099998,82.099998,446300
2018-11-07,83.680000,86.000000,81.220001,81.250000,81.250000,859300
2018-11-08,81.919998,83.209999,81.540001,82.370003,82.370003,880500
2018-11-09,80.720001,81.360001,79.800003,81.150002,81.150002,993100
2018-11-12,79.220001,80.019997,78.620003,79.000000,79.000000,808200
2018-11-13,78.980003,79.370003,77.279999,77.919998,77.919998,536700
2018-11-14,77.300003,80.970001,77.099998,79.660004,79.660004,885300
2018-11-15,80.629997,81.949997,79.459999,81.209999,81.209999,729300
2018-11-16,82.370003,83.279999,81.510002,81.529999,81.529999,825900
2018-11-19,81.900002,82.750000,81.449997,81.900002,81.900002,623500
2018-11-20,81.980003,82.360001,80.410004,81.680000,81.680000,480800
2018-11-21,82.839996,84.730003,82.690002,84.199997,84.199997,764700
2018-11-23,83.309998,84.029999,81.550003,82.050003,82.050003,330300
2018-11-26,82.930000,83.910004,81.360001,81.709999,81.709999,515700
2018-11-27,81.900002,82.180000,79.070000,80.059998,80.059998,645400
2018-11-28,80.070000,82.430000,79.489998,81.650002,81.650002,868200
2018-11-29,82.820000,83.150002,81.849998,82.040001,82.040001,600100
2018-11-30,80.919998,81.029999,79.459999,80.169998,80.169998,916400
2018-12-03,80.839996,81.690002,79.639999,81.309998,81.309998,793200
2018-12-04,81.449997,82.900002,81.449997,82.029999,82.029999,1275100
2018-12-06,82.489998,84.300003,82.160004,83.629997,83.629997,1109800
